HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
2,PL.2,Room,HD,0,1,,,If not leaf,partof.reference(Location.physicalType.coding.system),,,,,,,,,
2,PL.2,Room,HD,0,1,,,If not leaf,partof.reference(Location.partOf(Location{n])),,,,,,,,,
3,PL.3,Bed,HD,0,1,,,,[3].location(Location.identifier),,Identifier,,,HD[Identifier],,,,
3,PL.3,Bed,HD,0,1,,,,[3].location(Location.mode),,code,0,1,,,"""instance""",,
3,PL.3,Bed,HD,0,1,,,,[3].location(Location.physicalType.coding.code),,code,0,1,,,"""bd""",,
3,PL.3,Bed,HD,0,1,,,,[3].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
3,PL.3,Bed,HD,0,1,,,,[3].location(Location.partOf.reference(Location[2])),,string,0,1,,,,,
4,PL.4,Facility,HD,0,1,,,,[4].location(Location.identifier),,Identifier,,,HD[Identifier],,,,
4,PL.4,Facility,HD,0,1,,,,[4].location(Location.mode),,code,0,1,,,"""instance""",,
4,PL.4,Facility,HD,0,1,,,,[4].location(Location.physicalType.coding.code),,code,0,1,,,"""si""",,
4,PL.4,Facility,HD,0,1,,,,[4].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
5,PL.5,Location Status,IS,0,1,,,,,,,,,,,,,
6,PL.6,Person Location Type,IS,0,1,,,,,,,,,,,,,
7,PL.7,Building,HD,0,1,,,,[5].location(Location.dentifier),,Identifier,,,HD[Identifier],,,,
7,PL.7,Building,HD,0,1,,,,[5].location(Location.mode),,code,0,1,,,"""instance""",,
7,PL.7,Building,HD,0,1,,,,[5].location(Location.physicalType.coding.code),,code,0,1,,,"""bu""",,
7,PL.7,Building,HD,0,1,,,,[5].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
7,PL.7,Building,HD,0,1,,,,[5].location(Location.partOf.reference(Location[4])),,string,0,1,,,,,
8,PL.8,Floor,HD,0,1,,,,[6].location(Location.identifier),,Identifier,,,HD[Identifier],,,,
8,PL.8,Floor,HD,0,1,,,,[6].location(Location.mode),,code,0,1,,,"""instance""",,
8,PL.8,Floor,HD,0,1,,,,[6].location(Location.physicalType.coding.code),,code,0,1,,,"""lvl""",,
8,PL.8,Floor,HD,0,1,,,,[6].location(Location.physicalType.coding.system),,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
8,PL.8,Floor,HD,0,1,,,,[6].location(Location.partOf.reference(Location[1])),,string,0,1,,,,,
9,PL.9,Location Description,ST,0,1,,,,[1].location(Location.description),,string,0,1,,,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.3 VALUED,,,[3].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.2 VALUED AND PL.3 NOT VALUED,,,[2].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.1 VALUE AND PL.2 NOT VALUED AND PL.3 NOT VALUED,,,[1].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.8 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL3.NOT VALUED,,,[6].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.7 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL.3 NOT VALUED AND PL.8 NOT VALUED,,,[5].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.4 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL.3 NOT VALUED AND PL.8 NOT VALUED AND PL.7 NOT VALUED,,,[4].location(Location.identifier[3]),,Identifier,,,EI[Identifier-Organization],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.3 VALUED,,,[4].location(Location.identifier[3]),,Identifier,,,EI[Identifier-DefaultAssigner],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.2 VALUED AND PL.3 NOT VALUED,,,[4].location(Location.identifier[3]),,Identifier,,,EI[Identifier-DefaultAssigner],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.1 VALUE AND PL.2 NOT VALUED AND PL.3 NOT VALUED,,,[4].location(Location.identifier[3]),,Identifier,,,EI[Identifier-DefaultAssigner],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.8 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL3.NOT VALUED,,,[4].location(Location.identifier[3]),,Identifier,,,EI[Identifier-DefaultAssigner],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.7 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL.3 NOT VALUED AND PL.8 NOT VALUED,,,[4].location(Location.identifier[3],,Identifier,,,EI[Identifier-DefaultAssigner],,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,IF PL.11 VALUED AND IF PL.4 VALUED AND PL.1 NOT VALUED AND PL.2 NOT VALUED AND PL.3 NOT VALUED AND PL.8 NOT VALUED AND PL.7 NOT VALUED,,,[4].location(Location.identifier[3],,Identifier,,,EI[Identifier-DefaultAssigner],,,,
11,PL.11,Assigning Authority for Location,HD,0,1,,,,[n].location(Location.identifier[1].assigner(Organization)),,Reference,,,HD[Organization],,,,
11,PL.11,Assigning Authority for Location,HD,0,1,,,,[n].location(Location.identifier[2].assigner(Organization)),,Reference,,,HD[Organization],,,,
