27.2,ADT_A04.PROCEDUREADT_A04.ROL,[{ ROL }],Role,0,-1,,,,,,,,
27.3,ADT_A04.PROCEDUREADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
27.4,/ADT_A04.PROCEDURE,}],--- PROCEDURE end,,,,,,,,,,
28,ADT_A04.GT1,[{ GT1 } ],Guarantor,0,-1,,,,,,,,
29,ADT_A04.INSURANCE,[{,--- INSURANCE begin,0,-1,,,,,,,,
29.1,ADT_A04.INSURANCEADT_A04.IN1,IN1,Insurance,1,1,,,,Coverage[1],IN1[Coverage],Coverage.subscriber.reference=Patient[1].id,,
29.2,ADT_A04.INSURANCEADT_A04.IN2,[ IN2 ],Insurance Additional Info.,0,1,,,,Coverage[1],IN2[Coverage],,,
29.3,ADT_A04.INSURANCEADT_A04.IN3,[{ IN3 }],Insurance Additional Info - Cert.,0,-1,,,,Coverage[1],IN3[Coverage],,,
29.4,ADT_A04.INSURANCEADT_A04.ROL,[{ ROL }],Role,0,-1,,,,,,,,
29.5,ADT_A04.INSURANCEADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6,ADT_A04.INSURANCEADT_A04.AUTHORIZATION,[{,--- AUTHORIZATION begin,0,-1,,,,,,,,
29.6.1,ADT_A04.INSURANCEADT_A04.AUTHORIZATIONADT_A04.AUT,AUT,Authorization Record,1,1,,,,,,,,
29.6.2,ADT_A04.INSURANCEADT_A04.AUTHORIZATIONADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6.3,/ADT_A04.INSURANCEADT_A04.AUTHORIZATION,}],--- AUTHORIZATION end,,,,,,,,,,
29.7,ADT_A04.INSURANCEADT_A04.REFERRAL,[{,--- REFERRAL begin,0,-1,,,,,,,,
29.7.1,ADT_A04.INSURANCEADT_A04.REFERRALADT_A04.RF1,RF1,Referral Information,1,1,,,,,,,,
29.7.2,ADT_A04.INSURANCEADT_A04.REFERRALADT_A04.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.7.3,/ADT_A04.INSURANCEADT_A04.REFERRAL,}],--- REFERRAL end,,,,,,,,,,
29.8,/ADT_A04.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
30,ADT_A04.ACC,[ ACC ],Accident Information,0,1,,,,,,,,
31,ADT_A04.UB1,[ UB1 ],Universal Bill Information,0,1,,,,,,,,
32,ADT_A04.UB2,[ UB2 ],Universal Bill 92 Information,0,1,,,,,,,,
33,ADT_A04.PDA,[ PDA ],Patient Death and Autopsy,0,1,,,,,,,,
