27.3,ADT_A08.PROCEDURE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
27.4,/ADT_A08.PROCEDURE,}],--- PROCEDURE end,,,,,,,,,,
28,ADT_A08.GT1,[{ GT1 }],Guarantor,0,-1,,,,,,,,
29,ADT_A08.INSURANCE,[{,--- INSURANCE begin,,,,,,,,,,
29.1,ADT_A08.INSURANCE.IN1,IN1,Insurance,1,1,,,,Coverage[1],IN1[Coverage],Coverage.subscriber.reference=Patient[1].id,,
29.2,ADT_A08.INSURANCE.IN2,[ IN2 ],Insurance Additional Info.,0,1,,,,Coverage[1],IN2[Coverage],,,
29.3,ADT_A08.INSURANCE.IN3,[{ IN3 }],Insurance Additional Info - Cert.,0,-1,,,,Coverage[1],IN3[Coverage],,,
29.4,ADT_A08.INSURANCE.ROL,[{ ROL }],Role,0,-1,,,,,,,,
29.5,ADT_A08.INSURANCE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6,ADT_A08.INSURANCE.AUTHORIZATION,[{,--- AUTHORIZATION begin,0,-1,,,,,,,,
29.6.1,ADT_A08.INSURANCE.AUTHORIZATION.AUT,AUT,Authorization Record,1,1,,,,,,,,
29.6.2,ADT_A08.INSURANCE.AUTHORIZATION.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6.3,/ADT_A08.INSURANCE.AUTHORIZATION,}],--- AUTHORIZATION end,,,,,,,,,,
29.7,ADT_A08.INSURANCE.REFERRAL,[{,--- REFERRAL begin,0,-1,,,,,,,,
29.7.1,ADT_A08.INSURANCE.REFERRAL.RF1,RF1,Referral Information,1,1,,,,,,,,
29.7.2,ADT_A08.INSURANCE.REFERRAL.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.7.3,/ADT_A08.INSURANCE.REFERRAL,}],--- REFERRAL end,,,,,,,,,,
29.8,/ADT_A08.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
30,ADT_A08.ACC,[ ACC ],Accident Information,0,1,,,,,,,,
31,ADT_A08.UB1,[ UB1 ],Universal Bill Information,0,1,,,,,,,,
32,ADT_A08.UB2,[ UB2 ],Universal Bill 92 Information,0,1,,,,,,,,
33,ADT_A08.PDA,[PDA],Patient Death and Autopsy,0,1,,,,,,,,
