HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
5,ADT_A06.EVN,EVN,Event Type,1,1,IF EVN-5 NOT VALUED AND (MSH-22 IS VALUED OR MSH-4 IS VALUED),,,Provenance[3],MSH[Provenance-Operator],Provenance[3].target.reference=MessageHeader[1].id,,"If EVN-5 is not valued, then the MSH may have either the sending responsible organization (MSH-22) or the sending facility (MSH-4) to reasonable approximate the agent relevant for this Provenance instance."
6,ADT_A06.PID,PID,Patient Identification,1,1,,,,Patient[1],PID[Patient],,,Processing of the PID segment results in the creation of a new Patient resource
6,ADT_A06.PID,PID,Patient Identification,1,1,,,,Account[1],PID[Account],Account[1].subject.reference=Patient[1].id,,
6,ADT_A06.PID,PID,Patient Identification,1,1,IF PID-33 AND PID-34 VALUED,,One  may drop PID-33 from the condition if PID-34 Last Update Facility is still sufficient without a date.,Provenance[4],PID[Provenance-Patient],Provenance[4].target.reference=Patient[1].id,,
7,ADT_A06.PD1,[ PD1 ],Additional Demographics,0,1,,,,Patient[1],PD1[Patient],,,Incorporate PD1 content into the Patient created from the PID segment.
7,ADT_A01.PD1,[ PD1 ],Additional Demographics,0,1,IF PD1-7 VALUED,,,Observation[1],PD1[Observation-LivingWill],Observation[1].subject.reference=Patient[1].id,,
8,ADT_A06.OH1,[{ OH1 }],Employment Status,0,-1,,,,,,,,
9,ADT_A06.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
10,ADT_A06.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
11,ADT_A06.OH4,[{ OH4 }],Combat Zone Work,0,-1,,,,,,,,
12,ADT_A06:follow:PID.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,"FHIR does not yet support field level security tags.  The ARV, when located with the PID/PD1 in the v2 message, is meant to only apply to the patient.  However, technically it could point to other places in the messageas as well.  That is considered out of scope as."
13,ADT_A06:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.1 EQUALS ""PP"" AND ROL-3.3 EQUALS ""HL70443""","(element(""3.1"")=""PP"")and(element(""3.3"")=""HL70443"")",,Patient[1],ROL[Patient-GeneralPractitioner],,,
13,ADT_A06:follow:PID.ROL,[{ ROL }],Role,0,-1,"IF ROL-3.3 EQUALS ""HL70443"" AND ROL-3.1 IS NOT ""PP""","(element(""3.1"")!=""PP"")or(element(""3.3"")!=""HL70443"")","When the ROL includes entries with roles in Table HL70443 other than ""PP"", then they may be candidates for CareTeam, but not all.  That is implementation specific.",CareTeam[1],ROL[CareTeam],CareTeam[1].subject.reference=Patient[1].id,,
14,ADT_A06:follow:PID.PRT,[{ PRT }],Participation,0,-1,"IF PRT-4 IS ""PP""",,,Patient[1],PRT[Patient-GeneralPractitioner-Practitioner],,,
14,ADT_A06:follow:PID.PRT,[{ PRT }],Participation,0,-1,"IF PRT-4 IS IN (""AD"", ""AP"", ""ARI"", ""AT"", ""CP"", ""FHCP"", ""OP"", ""PH"", ""PP"", ""PRI"", ""RP"", ""RT"", ""VP"", ""PO"")",,,CareTeam[1],PRT[CareTeam],CareTeam[1].subject.reference=Patient[1].id,,
15,ADT_A06.MRG,[ MRG ],Merge Information,0,1,,,,Account[2],MRG[Account],Account[2].subject.reference=Patient[1].id,,"It will be left to implementation negotiation to determine whether disparate systems merely change the patient class, or close and open a new account.  The current active account number should appear in field PID-18 - Patient Account Number; the prior account number can be included optionally in MRG-3 - Prior Patient Account Number. 
Depending on the relationship between the old and new account, the implementer should consider whether Account.partOf should be used as well to link the two accounts appropriately."
16,ADT_A06.NEXT_OF_KIN,[{,--- NEXT_OF_KIN begin,0,-1,,,,,,,,
16.1,ADT_A06.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,,RelatedPerson[2],NK1[RelatedPerson],RelatedPerson[2].patient.reference=Patient[1].id,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
16.1,ADT_A06.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,,Patient[1],NK1[Patient],,,
16.2,ADT_A06.NEXT_OF_KIN.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
16.2,ADT_A06.NEXT_OF_KIN.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
16.3,/ADT_A06.NEXT_OF_KIN,}],--- NEXT_OF_KIN end,,,,,,,,,,
17,ADT_A06.PV1,PV1,Patient Visit,1,1,,,,Encounter[1],PV1[Encounter],Encounter[1].subject.reference=Patient[1].id,,Processing of the PV1 segment results in the creation of a new Encounter resource.  Note also that per A06 and A07 trigger event definitions PV1-19 - Visit Number may also be changed during this event.
17,ADT_A06.PV1,PV1,Patient Visit,1,1,IF PV1-43 VALUED,,,Basic,PV1[Basic-EncounterHistory],Basic.extension-EncounterHistory.subject.reference=Patient[1].id,,
17,ADT_A06.PV1,PV1,Patient Visit,1,1,,,,Patient[1],PV1[Patient],,,
17,ADT_A06.PV1,PV1,Patient Visit,1,1,IF PV1-20 VALUE,,,Coverage[1],PV1[Coverage],Coverage.beneficiary.reference=Patient[1].id,,
18,ADT_A06.PV2,[ PV2 ],Patient Visit - Additional Info.,0,1,,,,Encounter[1],PV2[Encounter],,,Incorporate PV2 content into the Encounter created from the PV1 segment.
19,ADT_A06:follow:PV1.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,"FHIR does not yet support field level security tags.  The ARV, when located with the PV1/PV2 in the v2 message, is meant to only apply to the encounter.  However, technically it could point to other places in the messageas as well.  That is considered out of scope as."
20,ADT_A06:follow:PV1.ROL,[{ ROL }],Role,0,-1,,,,Encounter[1],ROL[Encounter-PractitionerRole],,,
21,ADT_A06:follow:PV1.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
22,ADT_A06.DB1,[{ DB1 }],Disability Information,0,-1,,,,,,,,
23,ADT_A06.OBSERVATION,[{,--- OBSERVATION begin,0,-1,,,,,,,,
23.1,ADT_A06.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF OBX-5 LST.count LESS THAN OR EQUALS 1 OR OBX-2 IS ""NA""",,,Observation[3],OBX[Observation],Observation[3].subject.reference=Patient[1].id,,"One cannot determine whether this observation made during the PV1/PV2 communicated above, or from a prior visit/stay. It is therefore up to the implementer whether to populate Observation.encounter.reference with the Encounter[1].id or not.  Only when the ADT message involves an event before the encounter occurs, e.g., the intiial registration, it is clear that the observation is NOT associated with Encounter[1]."
23.1,ADT_A06.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF  OBX-5 LST.count GREATER THAN 1 AND OBX-2 IS NOT ""NA""",,,Observation[3],OBX[Observation-Component],Observation[3].subject.reference=Patient[1].id,,"One cannot determine whether this observation made during the PV1/PV2 communicated above, or from a prior visit/stay. It is therefore up to the implementer whether to populate Observation.encounter.reference with the Encounter[1].id or not.  Only when the ADT message involves an event before the encounter occurs, e.g., the intiial registration, it is clear that the observation is NOT associated with Encounter[1]."
23.2,ADT_A06.OBSERVATION.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
23.3,/ADT_A06.OBSERVATION,}],--- OBSERVATION end,,,,,,,,,,
24,ADT_A06.AL1,[{ AL1 }],Allergy Information,0,-1,,,,AllergyIntolerance,AL1[AllergyIntolerance],AllergyIntolerance.patient.reference=Patient[1].id,,Processing of the AL1 segment results in the creation of a new AllergyIntolerance resource
25,ADT_A06.IAM,[{ IAM }],Patient Advers Reaction Information,0,-1,,,,,,,,
26,ADT_A06.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of the patient,Condition[1],DG1[Condition],Condition[1].subject.reference=Patient[1].id,,Processing of the DG1 segment results in the creation of a new Condition resource
26,ADT_A06.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of an encounter,Encounter[1],DG1[Encounter],Encounter[1].diagnosis.reference=Condition[1].id,,
26,ADT_A06.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of a episode of care,EpisodeOfCare[1],DG1[EpisodeOfCare],"EpisodeOfCare.patient.reference=Patient[1].id;
EpisodeOfCare.diagnosis.reference=Condition[1].id",,
27,ADT_A06.DRG,[ DRG ],Diagnosis Related Group,0,1,,,,,,,,
28,ADT_A06.PROCEDURE,[{,--- PROCEDURE begin,0,-1,,,,,,,,
28.1,ADT_A06.PROCEDURE.PR1,PR1,Procedures,1,1,,,,Procedure,PR1[Procedure],Procedure.subject.reference=Patient[1].id,,
28.2,ADT_A06.PROCEDURE.ROL,[{ ROL }],Role,0,-1,,,,,,,,
28.3,ADT_A06.PROCEDURE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
28.4,/ADT_A06.PROCEDURE,}],--- PROCEDURE end,,,,,,,,,,
29,ADT_A06.GT1,[{ GT1 }],Guarantor,0,-1,,,,,,,,
30,ADT_A06.INSURANCE,[{,--- INSURANCE begin,0,-1,,,,,,,,
30.1,ADT_A06.INSURANCE.IN1,IN1,Insurance,1,1,,,,Coverage[1],IN1[Coverage],,,Processing of the IN1 segment results in the creation of a new Coverage resource
30.2,ADT_A06.INSURANCE.IN2,[ IN2 ],Insurance Additional Info.,0,1,,,,,,,,
30.3,ADT_A06.INSURANCE.IN3,[{ IN3 }],Insurance Additional Info - Cert.,0,-1,,,,CareTeam[1].participant[2],IN3[CareTeam],CareTeam[1].subject.reference=Patient[1].id,,Incorporate IN3 content into the Coverage created from the IN1 segment.
30.4,ADT_A06.INSURANCE.ROL,[{ ROL }],Role,0,-1,,,,,,,,
30.5,ADT_A06.INSURANCE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
30.8,/ADT_A06.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
31,ADT_A06.ACC,[ ACC ],Accident Information,0,1,,,,,,,,
32,ADT_A06.UB1,[ UB1 ],Universal Bill Information,0,1,,,,,,,,
33,ADT_A06.UB2,[ UB2 ],Universal Bill 92 Information,0,1,,,,,,,,
