HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
14,ADT_A05:follow:PID.PRT,[{ PRT }],Participation,0,-1,"IF PRT-4 IS ""PP""",,,Patient[1],PRT[Patient-GeneralPractitioner-PractitionerRole],,,
14,ADT_A05:follow:PID.PRT,[{ PRT }],Participation,0,-1,"IF PRT-4 IS IN (""AD"", ""AP"", ""ARI"", ""AT"", ""CP"", ""FHCP"", ""OP"", ""PH"", ""PP"", ""PRI"", ""RP"", ""RT"", ""VP"", ""PO"")",,,CareTeam[1],PRT[CareTeam],CareTeam[1].subject.reference=Patient[1].id,,
15,ADT_A05.NEXT_OF_KIN,[{,--- NEXT_OF_KIN begin,0,-1,,,,,,,,
15.1,ADT_A05.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,,RelatedPerson[2],NK1[RelatedPerson],RelatedPerson[2].patient.reference=Patient[1].id,,"Typically, each NK1 will be translated to either a new RelatedPerson resource or added as a new occurrence of Patient.contact, but it's possible to insert the NK1 data into both structures."
15.1,ADT_A05.NEXT_OF_KIN.NK1,NK1,Next of Kin / Associated Parties,1,1,,,,Patient[1],NK1[Patient],,,
15.2,ADT_A05.NEXT_OF_KIN.OH2,[{ OH2 }],Past or Present Job,0,-1,,,,,,,,
15.2,ADT_A05.NEXT_OF_KIN.OH3,[  OH3  ],Usual Work,0,1,,,,,,,,
15.3,/ADT_A05.NEXT_OF_KIN,}],--- NEXT_OF_KIN end,,,,,,,,,,
16,ADT_A05.PV1,PV1,Patient Visit,1,1,,,,Encounter[1],PV1[Encounter],Encounter[1].subject.reference=Patient[1].id,,Processing of the PV1 segment results in the creation of a new Encounter resource
16,ADT_A05.PV1,PV1,Patient Visit,1,1,IF PV1-43 VALUED,,,Basic,PV1[Basic-EncounterHistory],Basic.extension-EncounterHistory.subject.reference=Patient[1].id,,
16,ADT_A05.PV1,PV1,Patient Visit,1,1,,,,Patient[1],PV1[Patient],,,
16,ADT_A05.PV1,PV1,Patient Visit,1,1,IF PV1-20 VALUE,,,Coverage[1],PV1[Coverage],Coverage.beneficiary.reference=Patient[1].id,,
17,ADT_A05.PV2,[ PV2 ],Patient Visit - Additional Info.,0,1,,,,Encounter[1],PV2[Encounter],,,Incorporate PV2 content into the Encounter created from the PV1 segment.
18,ADT_A05:follow:PV1.ARV,[{ ARV }],Access Restrictions,0,-1,,,,,,,,"FHIR does not yet support field level security tags.  The ARV, when located with the PV1/PV2 in the v2 message, is meant to only apply to the encounter.  However, technically it could point to other places in the messageas as well.  That is considered out of scope as."
19,ADT_A05:follow:PV1.ROL,[{ ROL }],Role,0,-1,,,,Encounter[1],ROL[Encounter-PractitionerRole],,,
20,ADT_A05:follow:PV1.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
21,ADT_A05.DB1,[{ DB1 }],Disability Information,0,-1,,,,,,,,
22,ADT_A05.OBSERVATION,[{,--- OBSERVATION begin,0,-1,,,,,,,,
22.1,ADT_A05.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF OBX-5 LST.count LESS THAN OR EQUALS 1 OR OBX-2 IS ""NA""",,,Observation[3],OBX[Observation],Observation[3].subject.reference=Patient[1].id,,"One cannot determine whether this observation made during the PV1/PV2 communicated above, or from a prior visit/stay. It is therefore up to the implementer whether to populate Observation.encounter.reference with the Encounter[1].id or not.  Only when the ADT message involves an event before the encounter occurs, e.g., the intiial registration, it is clear that the observation is NOT associated with Encounter[1]."
22.1,ADT_A05.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF  OBX-5 LST.count GREATER THAN 1 AND OBX-2 IS NOT ""NA""",,,Observation[3],OBX[Observation-Component],Observation[3].subject.reference=Patient[1].id,,"One cannot determine whether this observation made during the PV1/PV2 communicated above, or from a prior visit/stay. It is therefore up to the implementer whether to populate Observation.encounter.reference with the Encounter[1].id or not.  Only when the ADT message involves an event before the encounter occurs, e.g., the intiial registration, it is clear that the observation is NOT associated with Encounter[1]."
22.2,ADT_A05.OBSERVATION.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
22.3,/ADT_A05.OBSERVATION,}],--- OBSERVATION end,,,,,,,,,,
23,ADT_A05.AL1,[{ AL1 }],Allergy Information,0,-1,,,,AllergyIntolerance,AL1[AllergyIntolerance],AllergyIntolerance.patient.reference=Patient[1].id,,Processing of the AL1 segment results in the creation of a new AllergyIntolerance resource
24,ADT_A05.IAM,[{ IAM }],Patient Advers Reaction Information,0,-1,,,,,,,,
25,ADT_A05.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of the patient,Condition[1],DG1[Condition],Condition[1].subject.reference=Patient[1].id,,Processing of the DG1 segment results in the creation of a new Condition resource
25,ADT_A05.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of an encounter,Encounter[1],DG1[Encounter],Encounter[1].diagnosis.reference=Condition[1].id,,
25,ADT_A05.DG1,[{ DG1 }],Diagnosis Information,0,-1,,,If in context of a episode of care,EpisodeOfCare[1],DG1[EpisodeOfCare],"EpisodeOfCare.patient.reference=Patient[1].id;
EpisodeOfCare.diagnosis.reference=Condition[1].id",,
26,ADT_A05.DRG,[ DRG ],Diagnosis Related Group,0,1,,,,,,,,
27,ADT_A05.PROCEDURE,[{,--- PROCEDURE begin,0,-1,,,,,,,,
27.1,ADT_A05.PROCEDURE.PR1,PR1,Procedures,1,1,,,,Procedure,PR1[Procedure],Procedure.subject.reference=Patient[1].id,,
27.2,ADT_A05.PROCEDURE.ROL,[{ ROL }],Role,0,-1,,,,,,,,
27.3,ADT_A05.PROCEDURE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
27.4,/ADT_A05.PROCEDURE,}],--- PROCEDURE end,,,,,,,,,,
28,ADT_A05.GT1,[{ GT1 }],Guarantor,0,-1,,,,,,,,
29,ADT_A05.INSURANCE,[{,--- INSURANCE begin,0,-1,,,,,,,,
29.1,ADT_A05.INSURANCE.IN1,IN1,Insurance,1,1,,,,Coverage[1],IN1[Coverage],,,Processing of the IN1 segment results in the creation of a new Coverage resource
29.2,ADT_A05.INSURANCE.IN2,[ IN2 ],Insurance Additional Info.,0,1,,,,,,,,
29.3,ADT_A05.INSURANCE.IN3,[{ IN3 }],Insurance Additional Info - Cert.,0,-1,,,,CareTeam[1],IN3[CareTeam],CareTeam.subject.reference=Patient[1].id,,Incorporate IN3 content into the Coverage created from the IN1 segment.
29.4,ADT_A05.INSURANCE.ROL,[{ ROL }],Role,0,-1,,,,,,,,
29.5,ADT_A05.INSURANCE.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6,ADT_A0.INSURANCE.AUTHORIZATION,[{,--- AUTHORIZATION begin,0,-1,,,,,,,,
29.6.1,ADT_A05.INSURANCE.AUTHORIZATION.AUT,AUT,Authorization Record,1,1,,,,,,,,
29.6.2,ADT_A05.INSURANCE.AUTHORIZATION.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.6.3,/ADT_A05.INSURANCE.AUTHORIZATION,}],--- AUTHORIZATION end,,,,,,,,,,
29.7,ADT_A05.INSURANCE.REFERRAL,[{,--- REFERRAL begin,0,-1,,,,,,,,
29.7.1,ADT_A05.INSURANCE.REFERRAL.RF1,RF1,Referral Information,1,1,,,,,,,,
29.7.2,ADT_A05.INSURANCE.REFERRAL.PRT,[{ PRT }],Participation,0,-1,,,,,,,,
29.7.3,/ADT_A05.INSURANCE.REFERRAL,}],--- REFERRAL end,,,,,,,,,,
29.8,/ADT_A05.INSURANCE,}],--- INSURANCE end,,,,,,,,,,
30,ADT_A05.ACC,[ ACC ],Accident Information,0,1,,,,,,,,
31,ADT_A05.UB1,[ UB1 ],Universal Bill Information,0,1,,,,,,,,
32,ADT_A05.UB2,[ UB2 ],Universal Bill 92 Information,0,1,,,,,,,,
