12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""OP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""OP"")and(element(""4.3"")=""HL70443"")",,"Immunization[1].performer.function.coding.code=""OP'""",,,,
12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""OP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""OP"")and(element(""4.3"")=""HL70443"")",,"Immunization[1].performer.function.coding.system=""http://terminology.hl7.org/CodeSystem/v2-0443""",,,,
12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""AP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""AP"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[3],PRT[PractitionerRole],Immunization.performer.actor.reference=PractitionerRole[3].id,,
12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""AP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""AP"")and(element(""4.3"")=""HL70443"")",,"Immunization[1].performer.function.coding.code=""AP'""",,,,
12.2,VXU_V04.ORDER.PRT,[{PRT}],Participation (for ORC),0,-1,"IF PRT-4.1 EQUALS ""AP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""AP"")and(element(""4.3"")=""HL70443"")",,"Immunization[1].performer.function.coding.system=""http://terminology.hl7.org/CodeSystem/v2-0443""",,,,
12.3,VXU_V04.ORDER.TIMING,[{,--- TIMING begin,0,-1,,,,,,,,
12.3.1,VXU_V04.ORDER.TIMING.TQ1,TQ1,Timing/Quantity,1,1,,,,,,,,
12.3.2,VXU_V04.ORDER.TIMING.TQ2,[{ TQ2 }],Timing/Quantity Order Sequence,0,-1,,,,,,,,
12.3.3,/VXU_V04.ORDER.TIMING,}],--- TIMING end,,,,,,,,,,
12.4,VXU_V04.ORDER.RXA,RXA,Pharmacy Administration Segment,1,1,,,,Immunization[1],RXA[Immunization],,,Incorporate RXA content into the Immunization created from the ORC segment in the same segment group.
12.5,VXU_V04.ORDER.RXR,[ RXR ],Pharmacy Route,0,1,,,,Immunization[1],RXR[Immunization],,,Incorporate RXR content into the Immunization created from the ORC segment in the same segment group.
12.6,VXU_V04.ORDER.OBSERVATION,[{,--- OBSERVATION begin,0,-1,,,,,,,,
12.6.1,VXU_V04.ORDER.OBSERVATION.OBX,OBX,Observation/Result,1,1,IF OBX-5 LST.count LESS THAN OR EQUALS 1,,"Some observations about the immunization may map to elements within the Immuniation resource rather than an independent Observation resource. For example, funding source, patient eligibility and educational material are often sent as OBX segments but map to Immunization elements.  Specific guidance on how to map, e.g., the US CDC implementation guide on immunizations, will be provided separately at a future time TBD.",Observation[2],OBX[Observation],Observation.subject.reference=Patient[1].id; Observation.partOf.reference=Immunization[1].id,,
12.6.1,VXU_V04.ORDER.OBSERVATION.OBX,OBX,Observation/Result,1,1,IF OBX-5 LST.count GREATER THAN 1,,"Some observations about the immunization may map to elements within the Immuniation resource rather than an independent Observation resource. For example, funding source, patient eligibility and educational material are often sent as OBX segments but map to Immunization elements.  Specific guidance on how to map, e.g., the US CDC implementation guide on immunizations, will be provided separately at a future time TBD.",Observation[2],OBX[Observation-Component],Observation.subject.reference=Patient[1].id; Observation.partOf.reference=Immunization[1].id,,
12.6.2,VXU_V04.ORDER.OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-10 VALUED,,,Device[2],PRT[Device],Observation[1].device.reference=Device.id,,
12.6.2,VXU_V04.ORDER.OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-9 VALUED OR IF PRT-14 VALUED,,,Observation[2],PRT[Observation-Location],,,
12.6.2,VXU_V04.ORDER.OBSERVATION.PRT,[{ PRT }],Participation (for Observation),0,-1,IF PRT-5 VALUED,,,PractitionerRole[4],PRT[PractitionerRole],Observation.performer.reference=PractitionerRole[1].id,,
12.6.3,VXU_V04.ORDER.OBSERVATION.NTE,[{ NTE }],Notes (Regarding Immunization),0,-1,,,,Observation[2].note,NTE[Annotation],,,
12.6.4,/VXU_V04.ORDER.OBSERVATION,}],--- OBSERVATION end,,,,,,,,,,
12.7,/VXU_V04.ORDER,}],--- ORDER end,,,,,,,,,,
