HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,Comments
6.3.3,/OML_O21.ORDER.TIMING,}],--- TIMING end,,,,,,,,,,
6.4,OML_O21.ORDER.OBSERVATION_REQUEST,[,--- OBSERVATION_REQUEST begin,0,1,,,,,,,,
6.4.1,OML_O21.ORDER.OBSERVATION_REQUEST.OBR,OBR,Observation Request,1,1,,,,ServiceRequest[1],OBR[ServiceRequest],,,Incorporate OBR content into the ServiceRequest created from the ORC segment in the same segment group.
6.4.2,OML_O21.ORDER.OBSERVATION_REQUEST.TCD,[ TCD ],Test Code Details,0,1,,,,,,,,
6.4.3,OML_O21.ORDER.OBSERVATION_REQUEST.NTE,[{NTE}],Notes and Comments (for Detail),0,-1,,,,ServiceRequest[1],NTE[ServiceRequest],,,
6.4.4,OML_O21.ORDER.OBSERVATION_REQUEST.PRT,[{PRT}],Participation (for Observation Request),0,-1,"IF PRT-4.1 EQUALS ""SC"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""SC"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[4],PRT[PractitionerRole],ServiceRequest[1].specimen[1](Specimen.collection.collector.reference)=PractitionerRole[4].id,,
6.4.4,OML_O21.ORDER.OBSERVATION_REQUEST.PRT,[{PRT}],Participation (for Observation Request),0,-1,"IF PRT-4.1 EQUALS ""OP"" AND PRT-4.3 EQUALS ""HL70443""","(element(""4.1"")=""OP"")and(element(""4.3"")=""HL70443"")",,PractitionerRole[3],PRT[PractitionerRole],ServiceRequest[1].requester.reference=PractitionerRole[3].id,,
6.4.5,OML_O21.ORDER.OBSERVATION_REQUEST.CTD,[ CTD ],Contact Data,0,1,,,,,,,,
6.4.6,OML_O21.ORDER.OBSERVATION_REQUEST.DG1,[{DG1}],Diagnosis,0,-1,,,,Condition[1],DG1[Condition],ServiceRequest[1].reasonReference.reference=Condition[1].id; Condition[1].subject.reference=Patient[1].id,,Processing of the DG1 segment results in the creation of a new Condition resource which is referenced in the ServiceRequest created by the ORC segment
6.4.7,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION,[{,--- OBSERVATION begin,0,-1,,,,,,,,
6.4.7.1,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF OBX-29 IN (""QST"", ""SCI"")",,,Observation[1],OBX[Observation],ServiceRequest[1].supportingInfo.reference=Observation[1].id; Observation[1].subject.id=Patient[1].id,,
6.4.7.1,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.OBX,OBX,Observation/Result,1,1,"IF OBX-29=""Q......",,,,,,,
6.4.7.2,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.PRT,[{PRT}],Participation (for OBX),0,-1,IF PRT-10 VALUED,,,Device,PRT[Device],Observation[2].device.reference=Device.id,,
6.4.7.2,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.PRT,[{PRT}],Participation (for OBX),0,-1,IF PRT-9 VALUED OR IF PRT-14 VALUED,,,Observation[2],PRT[Observation-Location],,,Incorporate PRT content into the Observation created from the OBX segment in the same segment group when it represents observation location information.
6.4.7.2,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.PRT,[{PRT}],Participation (for OBX),0,-1,IF PRT-5 VALUED,,,PractitionerRole[7],PRT[PractitionerRole],Observation[2].performer.reference=PractitionerRole[7].id,,Incorporate PRT content into the Observation created from the OBX segment in the same segment group when it represents observation practitioner information.
6.4.7.3,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.TCD,[ TCD ],Test Code Detail,0,1,,,,,,,,
6.4.7.4,OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION.NTE,[{NTE}],Notes and Comments (for Results),0,-1,,,,Observation[1],NTE[Observation],,,
6.4.7.5,/OML_O21.ORDER.OBSERVATION_REQUEST.OBSERVATION,}],--- OBSERVATION end,,,,,,,,,,
6.4.8,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN,[{,--- SPECIMEN begin,0,-1,,,,,,,,
6.4.8.1,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPM,SPM,Specimen,1,1,,,,Specimen,SPM[Specimen],ServiceRequest[1].specimen.reference=Specimen[SPM].id,,
6.4.8.1,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPM,SPM,Specimen,1,1,IF SPM-21 VALUED,,,,,ServiceRequest[1].specimen.#ext-rejectReason#=SPM-21,,This provides a reject reason for the specimen in context of the specific test as the specimen may still be usable for other tests.
6.4.8.2,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPECIMEN_OBSERVATION,[{,--- SPECIMEN_OBSERVATION begin,0,-1,,,,,,,,
6.4.8.2.1,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPECIMEN_OBSERVATION.OBX,OBX,Observation/Result related to specimen,1,1,,,,,,,,
6.4.8.2.2,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPECIMEN_OBSERVATION.PRT,[{PRT}],Participation (for Specimen Observation),0,-1,,,,,,,,
6.4.8.2.3,/OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.SPECIMEN_OBSERVATION,}],--- SPECIMEN_OBSERVATION end,,,,,,,,,,
6.4.8.3,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER,[{,--- CONTAINER begin,0,-1,,,,,,,,
6.4.8.3.1,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER.SAC,SAC,Specimen Container,1,1,,,,,,,,
6.4.8.3.2,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER.CONTAINER_OBSERVATION,[{,--- CONTAINER_OBSERVATION begin,0,-1,,,,,,,,
6.4.8.3.2.1,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER.CONTAINER_OBSERVATION.OBX,OBX,Observation/Result related to container,1,1,,,,,,,,
6.4.8.3.2.2,OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER.CONTAINER_OBSERVATION.PRT,[{PRT}],Participation (for Container Observation),0,-1,,,,,,,,
6.4.8.3.2.3,/OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER.CONTAINER_OBSERVATION,}],--- CONTAINER_OBSERVATION end,,,,,,,,,,
6.4.8.3.3,/OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN.CONTAINER,}],--- CONTAINER end,,,,,,,,,,
6.4.8.4,/OML_O21.ORDER.OBSERVATION_REQUEST.SPECIMEN,}],--- SPECIMEN end,,,,,,,,,,
6.4.9,OML_O21.ORDER.OBSERVATION_REQUEST.SGH,[SGH],Segment Group Header,,,,,,,,,,
6.4.10,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT,[{,--- PRIOR_RESULT begin,,,,,,,,,,
6.4.10.1,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR,[,--- PATIENT_PRIOR begin,,,,,,,,,,
6.4.10.1.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR.PID,PID,Patient Identification– previous result,,,,,,,,,,
6.4.10.1.3,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR.PD1,[PD1],Additional Demographics – previous result,,,,,,,,,,
6.4.10.1.4,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR.PRT,[{PRT}],Participation (for Patient Prior),,,,,,,,,,
6.4.10.1.5,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR.ARV,[{ARV}],Access Restrictions,,,,,,,,,,
6.4.10.1.6,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.PATIENT_PRIOR,],--- PATIENT_PRIOR end,,,,,,,,,,
6.4.10.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.RESULT_VISIT_PRIOR,[,--- PATIENT_VISIT_PRIOR begin,,,,,,,,,,
6.4.10.2.1,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.RESULT_VISIT_PRIOR.PV1,PV1,Patient Visit– previous result,,,,,,,,,,
6.4.10.2.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.RESULT_VISIT_PRIOR.PV2,[ PV2 ],Patient Visit Add. Info – previous result,,,,,,,,,,
6.4.10.2.3,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.RESULT_VISIT_PRIOR.PRT,[{PRT}],Participation (for Patient Visit Prior),,,,,,,,,,
6.4.10.2.4,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.RESULT_VISIT_PRIOR,],--- PATIENT_VISIT_PRIOR end,,,,,,,,,,
6.4.10.3,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.AL1,[{AL1}],Allergy Information- previous result,,,,,,,,,,
6.4.10.4,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR,{,--- ORDER_PRIOR begin,,,,,,,,,,
6.4.10.4.1,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.ORC,ORC,Common Order- previous result,,,,,,,,,,
6.4.10.4.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.PRT,[{PRT}],Participation,,,,,,,,,,
6.4.10.4.3,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBR,OBR,Order Detail- previous result,,,,,,,,,,
6.4.10.4.4,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.NTE,[{NTE}],Notes and Comments- previous result,,,,,,,,,,
6.4.10.4.5,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.PRT,[{PRT}],Participation (for Order Prior),,,,,,,,,,
6.4.10.4.6,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.TIMING_PRIOR,[{,--- TIMING_PRIOR begin,,,,,,,,,,
6.4.10.4.6.1,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.TIMING_PRIOR.TQ1,TQ1,Timing/Quantity,,,,,,,,,,
6.4.10.4.6.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.TIMING_PRIOR.TQ2,[{TQ2}],Timing/Quantity Order Sequence,,,,,,,,,,
6.4.10.4.6.3,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.TIMING_PRIOR,}],--- TIMING_PRIOR end,,,,,,,,,,
6.4.10.4.7,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBSERVATION_PRIOR,{,--- OBSERVATION_PRIOR begin,,,,,,,,,,
6.4.10.4.7.1,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBSERVATION_PRIOR.OBX,OBX,Observation/Result- previous result,,,,,,,,,,
6.4.10.4.7.2,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBSERVATION_PRIOR.PRT,[{PRT}],Participation (for Observation Prior),,,,,,,,,,
6.4.10.4.7.3,OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBSERVATION_PRIOR.NTE,[{NTE}],Notes and Comments- previous result,,,,,,,,,,
6.4.10.4.7.4,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR.OBSERVATION_PRIOR,},--- OBSERVATION_PRIOR end,,,,,,,,,,
6.4.10.4.8,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT.ORDER_PRIOR,},--- ORDER_PRIOR end,,,,,,,,,,
6.4.10.5,/OML_O21.ORDER.OBSERVATION_REQUEST.PRIOR_RESULT,}],--- PRIOR_RESULT end,,,,,,,,,,
6.4.11,OML_O21.ORDER.OBSERVATION_REQUEST.SGT,[SGT],Segment Group Trailer,,,,,,,,,,
6.4.12,/OML_O21.ORDER.OBSERVATION_REQUEST,],--- OBSERVATION_REQUEST end,,,,,,,,,,
6.5,OML_O21.ORDER.FT1,[{FT1}],Financial Transaction,,,,,,,,,,
6.6,OML_O21.ORDER.CTI,[{CTI}],Clinical Trial Identification,,,,,,,,,,
6.7,OML_O21.ORDER.BLG,[ BLG ],Billing Segment,,,,,,,,,,
6.8,/OML_O21.ORDER,},--- ORDER end,,,,,,,,,,
