HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
,,,,,,356000,,Reticular corium, http://snomed.info/sct,,
,,,,,,393006,,Wall of urinary bladder, http://snomed.info/sct,,
,,,,,,402006,,Dental branches of inferior alveolar artery, http://snomed.info/sct,,
,,,,,,405008,,Posterior temporal diploic vein, http://snomed.info/sct,,
,,,,,,414003,,Gastric fundus, http://snomed.info/sct,,
,,,,,,420002,,"Anastomosis, heterocladic", http://snomed.info/sct,,
,,,,,,422005,,Inferior surface of tongue, http://snomed.info/sct,,
,,,,,,446003,,Trochanteric bursa, http://snomed.info/sct,,
,,,,,,457008,,Collateral ligament, http://snomed.info/sct,,
,,,,,,461002,,Lateral corticospinal tract, http://snomed.info/sct,,
,,,,,,464005,,Basophilic normoblast, http://snomed.info/sct,,
,,,,,,465006,,Ascending frontal gyrus, http://snomed.info/sct,,
,,,,,,471000,,Flexor hallucis longus in leg, http://snomed.info/sct,,
,,,,,,480000,,Cardiopulmonary circulatory system, http://snomed.info/sct,,
,,,,,,485005,,TC - Transverse colon, http://snomed.info/sct,,
,,,,,,528006,,Costal surface of lung, http://snomed.info/sct,,
,,,,,,552004,,Vagus nerve parasympathetic fibers to cardiac plexus, http://snomed.info/sct,,
,,,,,,565008,,Intervertebral disc space of fifth lumbar vertebra, http://snomed.info/sct,,
,,,,,,582005,,Head of phalanx of great toe, http://snomed.info/sct,,
,,,,,,587004,,Capsule of proximal interphalangeal joint of third toe, http://snomed.info/sct,,
,,,,,,589001,,Interventricular septum, http://snomed.info/sct,,
,,,,,,595000,,Palpebral fissure, http://snomed.info/sct,,
,,,,,,608002,,Subcutaneous tissue of philtrum, http://snomed.info/sct,,
,,,,,,621009,,"Multivesicular body, internal vesicles", http://snomed.info/sct,,
,,,,,,635006,,Tuberosity of distal phalanx of little toe, http://snomed.info/sct,,
,,,,,,650002,,Superior articular process of seventh thoracic vertebra, http://snomed.info/sct,,
,,,,,,660006,,Tracheal mucous membrane, http://snomed.info/sct,,
,,,,,,661005,,Jaw region, http://snomed.info/sct,,
,,,,,,667009,,Embryological structure, http://snomed.info/sct,,
,,,,,,688000,,Fetal hyaloid artery, http://snomed.info/sct,,
,,,,,,691000,,Small intestine submucosa, http://snomed.info/sct,,
,,,,,,692007,,Body of ischium, http://snomed.info/sct,,
,,,,,,723004,,Dense intermediate filament bundles, http://snomed.info/sct,,
,,,,,,774007,,Head and neck, http://snomed.info/sct,,
,,,,,,790007,,Visceral surface of liver, http://snomed.info/sct,,
,,,,,,798000,,Deep temporal veins, http://snomed.info/sct,,
,,,,,,808000,,Posterior intercostal artery, http://snomed.info/sct,,
,,,,,,809008,,Fetal chondrocranium, http://snomed.info/sct,,
,,,,,,823005,,Posterior cervical spinal cord nerve root, http://snomed.info/sct,,
,,,,,,830004,,Spinous process of fifth thoracic vertebra, http://snomed.info/sct,,
,,,,,,836005,,Oral region of face, http://snomed.info/sct,,
,,,,,,885000,,Lamina muscularis of colonic mucous membrane, http://snomed.info/sct,,
,,,,,,895007,,Anterior cruciate ligament of knee joint, http://snomed.info/sct,,
,,,,,,917004,,Superior laryngeal aperture, http://snomed.info/sct,,
,,,,,,921006,,Thyrohyoid branch of ansa cervicalis, http://snomed.info/sct,,
,,,,,,947002,,Crus of diaphragm, http://snomed.info/sct,,
,,,,,,955009,,Bronchus, http://snomed.info/sct,,
,,,,,,976004,,Ovarian vein, http://snomed.info/sct,,
,,,,,,996007,,Meningeal branch of occipital artery, http://snomed.info/sct,,
,,,,,,1005009,,Entire diaphragmatic lymph node, http://snomed.info/sct,,
,,,,,,1012000,,Structure of fibrous portion of pericardium, http://snomed.info/sct,,
,,,,,,1015003,,Structure of peritonsillar tissue, http://snomed.info/sct,,
,,,,,,1028005,,Sebaceous gland structure, http://snomed.info/sct,,
,,,,,,1030007,,Structure of vesicular bursa of sternohyoid muscle, http://snomed.info/sct,,
,,,,,,1063000,,Frontozygomatic suture of skull, http://snomed.info/sct,,
,,,,,,1075005,,Promonocyte, http://snomed.info/sct,,
,,,,,,1076006,,Subcutaneous prepatellar bursa, http://snomed.info/sct,,
,,,,,,1086007,,Female, http://snomed.info/sct,,
,,,,,,1087003,,Sternothyroid muscle, http://snomed.info/sct,,
,,,,,,1092001,,Superior occipital gyrus, http://snomed.info/sct,,
,,,,,,1099005,,Thymic cortex, http://snomed.info/sct,,
,,,,,,1101003,,Cranial cavity, http://snomed.info/sct,,
,,,,,,1106008,,Major calyx, http://snomed.info/sct,,
,,,,,,1110006,,Tarsal gland, http://snomed.info/sct,,
,,,,,,1122009,,Inferior longitudinal muscle of tongue, http://snomed.info/sct,,
,,,,,,1136004,,Aortopulmonary septum, http://snomed.info/sct,,
,,,,,,1159005,,Frenulum linguae, http://snomed.info/sct,,
,,,,,,1172006,,Odontoid process of axis, http://snomed.info/sct,,
,,,,,,1173001,,Mandibular nerve, http://snomed.info/sct,,
,,,,,,1174007,,"Chromosomes, group E", http://snomed.info/sct,,
,,,,,,1193009,,Teres major muscle, http://snomed.info/sct,,
,,,,,,1216008,,Synostosis, http://snomed.info/sct,,
,,,,,,1231004,,Central nervous system meninges, http://snomed.info/sct,,
,,,,,,1236009,,Duodenal serosa, http://snomed.info/sct,,
,,,,,,1243003,,Inferior articular process of sixth cervical vertebra, http://snomed.info/sct,,
,,,,,,1246006,,Dorsal digital nerves of radial nerve, http://snomed.info/sct,,
,,,,,,1263005,,Distinctive arrangement of microtubules, http://snomed.info/sct,,
,,,,,,1277008,,Vertebral nerve, http://snomed.info/sct,,
,,,,,,1307006,,Glottis, http://snomed.info/sct,,
,,,,,,1311000,,Telogen hair, http://snomed.info/sct,,
,,,,,,1350001,,Deep flexor tendon of index finger, http://snomed.info/sct,,
,,,,,,1353004,,Gastric serosa, http://snomed.info/sct,,
,,,,,,1403006,,Vastus lateralis muscle, http://snomed.info/sct,,
,,,,,,1425000,,Posterior limb of stapes, http://snomed.info/sct,,
,,,,,,1439000,,Paravesicular lymph node, http://snomed.info/sct,,
,,,,,,1441004,,Laryngeal saccule, http://snomed.info/sct,,
,,,,,,1456008,,Yellow fibrocartilage, http://snomed.info/sct,,
,,,,,,1467009,,Parietal branch of superficial temporal artery, http://snomed.info/sct,,
,,,,,,1484003,,Structure of metatarsal region of foot, http://snomed.info/sct,,
,,,,,,1490004,,Soft tissues of trunk, http://snomed.info/sct,,
,,,,,,1502004,,Anterior cecal artery, http://snomed.info/sct,,
,,,,,,1511004,,Ejaculatory duct, http://snomed.info/sct,,
,,,,,,1516009,,Frontomental diameter of head, http://snomed.info/sct,,
,,,,,,1527006,,Lamina of fourth thoracic vertebra, http://snomed.info/sct,,
,,,,,,1537001,,Intervertebral disc of eleventh thoracic vertebra, http://snomed.info/sct,,
,,,,,,1541002,,Coccygeal plexus, http://snomed.info/sct,,
,,,,,,1562001,,Nucleus pulposus of intervertebral disc of third lumbar vertebra, http://snomed.info/sct,,
,,,,,,1569005,,Nail of third toe, http://snomed.info/sct,,
,,,,,,1580005,,Nucleus ventralis lateralis, http://snomed.info/sct,,
,,,,,,1581009,,Ileal artery, http://snomed.info/sct,,
,,,,,,1584001,,Symphysis, http://snomed.info/sct,,
,,,,,,1600003,,Splenius capitis muscle, http://snomed.info/sct,,
,,,,,,1605008,,Histioblast, http://snomed.info/sct,,
,,,,,,1610007,,Otoconia, http://snomed.info/sct,,
,,,,,,1611006,,Paramammary lymph node, http://snomed.info/sct,,
,,,,,,1617005,,Intrinsic larynx, http://snomed.info/sct,,
,,,,,,1620002,,Metaphase nucleus, http://snomed.info/sct,,
,,,,,,1626008,,Third thoracic vertebra, http://snomed.info/sct,,
,,,,,,1627004,,Medial collateral ligament of knee joint, http://snomed.info/sct,,
,,,,,,1630006,,Supraorbital vein, http://snomed.info/sct,,
,,,,,,1631005,,Foregut, http://snomed.info/sct,,
,,,,,,1650005,,Hilum of left lung, http://snomed.info/sct,,
,,,,,,1655000,,Transverse peduncular tract nucleus, http://snomed.info/sct,,
,,,,,,1659006,,Nucleus medialis dorsalis, http://snomed.info/sct,,
,,,,,,1684009,,Ligamentum teres of liver, http://snomed.info/sct,,
,,,,,,1706004,,Thymic lobule, http://snomed.info/sct,,
,,,,,,1707008,,Ventral nuclear group of thalamus, http://snomed.info/sct,,
,,,,,,1711002,,Periorbital region, http://snomed.info/sct,,
,,,,,,1716007,,Cupula ampullaris, http://snomed.info/sct,,
,,,,,,1721005,,Right tonsil, http://snomed.info/sct,,
,,,,,,1729007,,Central tegmental tract, http://snomed.info/sct,,
,,,,,,1732005,,TD - Thoracic duct, http://snomed.info/sct,,
,,,,,,1765002,,Structure of lymphatic vessel of thorax, http://snomed.info/sct,,
,,,,,,1780008,,Premelanosome, http://snomed.info/sct,,
,,,,,,1781007,,Sacroiliac region, http://snomed.info/sct,,
,,,,,,1797002,,Naris, http://snomed.info/sct,,
,,,,,,1818002,,Greater circulus arteriosus of iris, http://snomed.info/sct,,
,,,,,,1825009,,Root of nose, http://snomed.info/sct,,
,,,,,,1832000,,Scleral conjunctiva, http://snomed.info/sct,,
,,,,,,1840006,,Arrector pili muscle, http://snomed.info/sct,,
,,,,,,1849007,,Pharyngeal recess, http://snomed.info/sct,,
,,,,,,1853009,,Structure of suprahyoid muscle, http://snomed.info/sct,,
,,,,,,1874005,,Promontory lymph node, http://snomed.info/sct,,
,,,,,,1893007,,Joint of upper extremity, http://snomed.info/sct,,
,,,,,,1895000,,Musculophrenic vein, http://snomed.info/sct,,
,,,,,,1902009,,Skin of external ear, http://snomed.info/sct,,
,,,,,,1910005,,Ear, http://snomed.info/sct,,
,,,,,,1918003,,Suprarenal aorta, http://snomed.info/sct,,
,,,,,,1927002,,Left elbow, http://snomed.info/sct,,
,,,,,,1992003,,Porus acusticus internus, http://snomed.info/sct,,
,,,,,,1997009,,Cingulum dentis, http://snomed.info/sct,,
,,,,,,2010005,,Clavicular facet of scapula, http://snomed.info/sct,,
,,,,,,2020000,,Superior thoracic artery, http://snomed.info/sct,,
,,,,,,2031008,,Structure of anterior median fissure of spinal cord, http://snomed.info/sct,,
,,,,,,2033006,,Right fallopian tube, http://snomed.info/sct,,
,,,,,,2044003,,Vaginal nerves, http://snomed.info/sct,,
,,,,,,2048000,,Lingual tonsil, http://snomed.info/sct,,
,,,,,,2049008,,Chorionic villi, http://snomed.info/sct,,
,,,,,,2059009,,Skin of ear lobule, http://snomed.info/sct,,
,,,,,,2071003,,Reticular formation of spinal cord, http://snomed.info/sct,,
,,,,,,2076008,,Head of phalanx of hand, http://snomed.info/sct,,
,,,,,,2083001,,Nucleus ambiguus, http://snomed.info/sct,,
,,,,,,2095001,,Accessory sinus, http://snomed.info/sct,,
,,,,,,2123001,,Mammilloinfundibular nucleus, http://snomed.info/sct,,
,,,,,,2150006,,Urinary tract transitional epithelial cell, http://snomed.info/sct,,
,,,,,,2156000,,Glial cell, http://snomed.info/sct,,
,,,,,,2160002,,Ligamentum arteriosum, http://snomed.info/sct,,
,,,,,,2175005,,Pharyngeal cavity, http://snomed.info/sct,,
,,,,,,2182009,,Endometrial zona basalis, http://snomed.info/sct,,
,,,,,,2192001,,Clavicular part of pectoralis major muscle, http://snomed.info/sct,,
,,,,,,2205003,,Lamina of fifth thoracic vertebra, http://snomed.info/sct,,
,,,,,,2209009,,Cerebral basal surface, http://snomed.info/sct,,
,,,,,,2236006,,Lesser osseous pelvis, http://snomed.info/sct,,
,,,,,,2246008,,Type I hair cell, http://snomed.info/sct,,
,,,,,,2255006,,Subserosa, http://snomed.info/sct,,
,,,,,,2285001,,Structure of torcular Herophili, http://snomed.info/sct,,
,,,,,,2292006,,Structure of nasopharyngeal gland, http://snomed.info/sct,,
,,,,,,2302002,,Vein of the knee, http://snomed.info/sct,,
,,,,,,2305000,,Structure of spinous process of cervical vertebra, http://snomed.info/sct,,
,,,,,,2306004,,Structure of base of third metacarpal bone, http://snomed.info/sct,,
,,,,,,2327009,,Salivary seromucous gland, http://snomed.info/sct,,
,,,,,,2330002,,Structure of segmental bronchial branches, http://snomed.info/sct,,
,,,,,,2332005,,Metencephalon of foetus, http://snomed.info/sct,,
,,,,,,2334006,,Renal calyx, http://snomed.info/sct,,
,,,,,,2349003,,Structure of nasal suture of skull, http://snomed.info/sct,,
,,,,,,2372001,,Structure of medial surface of toe, http://snomed.info/sct,,
,,,,,,2383005,,Structure of papillary muscles of right ventricle, http://snomed.info/sct,,
,,,,,,2389009,,Structure of superior margin of adrenal gland, http://snomed.info/sct,,
,,,,,,2395005,,Structure of transverse facial artery, http://snomed.info/sct,,
,,,,,,2397002,,Structure of first metatarsal facet of medial cuneiform bone, http://snomed.info/sct,,
,,,,,,2400006,,Universal designation 21, http://snomed.info/sct,,
,,,,,,2402003,,Structure of dorsum of foot, http://snomed.info/sct,,
,,,,,,2421006,,Structure of submaxillary ganglion, http://snomed.info/sct,,
,,,,,,2433001,,Structure of digital tendon and tendon sheath of foot, http://snomed.info/sct,,
,,,,,,2436009,,Tunica intima of vein, http://snomed.info/sct,,
,,,,,,2453002,,Subcutaneous tissue structure of posterior surface of forearm, http://snomed.info/sct,,
,,,,,,2454008,,"Structure of articular surface, third metacarpal, of second metacarpal bone", http://snomed.info/sct,,
,,,,,,2484000,,Skin structure of frenulum of clitoris, http://snomed.info/sct,,
,,,,,,2489005,,Structure of medial check ligament of eye, http://snomed.info/sct,,
,,,,,,2499000,,Entire cisterna pontis, http://snomed.info/sct,,
,,,,,,2502001,,Membrane of lysosome, http://snomed.info/sct,,
,,,,,,2504000,,Structure of pancreatic plexus, http://snomed.info/sct,,
,,,,,,2510000,,Femoral triangle structure, http://snomed.info/sct,,
,,,,,,2539000,,Structure of superior rectal artery, http://snomed.info/sct,,
,,,,,,2543001,,Structure of cuboid articular facet of fourth metatarsal bone, http://snomed.info/sct,,
,,,,,,2550002,,Bone structure of phalanx of thumb, http://snomed.info/sct,,
,,,,,,2577006,,Structure of gracilis muscle, http://snomed.info/sct,,
,,,,,,2579009,,Plasmablast, http://snomed.info/sct,,
,,,,,,2592007,,All extremities, http://snomed.info/sct,,
,,,,,,2600000,,Structure of flexor pollicis longus muscle tendon, http://snomed.info/sct,,
,,,,,,2620004,,Intervertebral disc structure of third thoracic vertebra, http://snomed.info/sct,,
,,,,,,2639009,,Neuroendocrine tissue, http://snomed.info/sct,,
,,,,,,2653009,,Structure of posterior thalamic radiation of internal capsule, http://snomed.info/sct,,
,,,,,,2666009,,Structure of semispinalis capitis muscle, http://snomed.info/sct,,
,,,,,,2672009,,Structure of anterior cutaneous branch of lumbosacral plexus, http://snomed.info/sct,,
,,,,,,2675006,,Structure of anterior ethmoidal artery, http://snomed.info/sct,,
,,,,,,2681003,,Structure of dorsal nerve of penis, http://snomed.info/sct,,
,,,,,,2682005,,Bladder mucosa, http://snomed.info/sct,,
,,,,,,2686008,,Structure of medial olfactory gyrus, http://snomed.info/sct,,
,,,,,,2687004,,Structure of Bowman space, http://snomed.info/sct,,
,,,,,,2695000,,Left maxillary sinus structure, http://snomed.info/sct,,
,,,,,,2703009,,Entire calcarine artery, http://snomed.info/sct,,
,,,,,,2712006,,Structure of capsule of ankle joint, http://snomed.info/sct,,
,,,,,,2718005,,Structure of apical foramen of tooth, http://snomed.info/sct,,
,,,,,,2726002,,Structure of fold for stapes, http://snomed.info/sct,,
,,,,,,2730004,,Entire vitelline vein of placenta, http://snomed.info/sct,,
,,,,,,2739003,,Endometrial structure, http://snomed.info/sct,,
,,,,,,2741002,,Structure of medial occipitotemporal gyrus, http://snomed.info/sct,,
,,,,,,2746007,,Circular layer of gastric muscularis, http://snomed.info/sct,,
,,,,,,2748008,,Spinal cord structure, http://snomed.info/sct,,
,,,,,,2759004,,Eccrine gland structure, http://snomed.info/sct,,
,,,,,,2771005,,Lamina propria of ureter, http://snomed.info/sct,,
,,,,,,2789006,,Apocrine gland structure, http://snomed.info/sct,,
,,,,,,2792005,,Structure of pars tensa of tympanic membrane, http://snomed.info/sct,,
,,,,,,2803000,,Structure of tendon sheath of popliteus muscle, http://snomed.info/sct,,
,,,,,,2810006,,Structure of cremasteric fascia, http://snomed.info/sct,,
,,,,,,2812003,,Structure of head of femur, http://snomed.info/sct,,
,,,,,,2824005,,Structure of spinous process of fourth thoracic vertebra, http://snomed.info/sct,,
,,,,,,2826007,,Structure of lamina of fourth lumbar vertebra, http://snomed.info/sct,,
,,,,,,2830005,,Structure of dorsal digital nerves of lateral hallux and medial second toe, http://snomed.info/sct,,
,,,,,,2839006,,Structure of perivesicular tissues of seminal vesicles, http://snomed.info/sct,,
,,,,,,2841007,,Renal artery structure, http://snomed.info/sct,,
,,,,,,2845003,,Structure of respiratory epithelium, http://snomed.info/sct,,
,,,,,,2848001,,Structure of superficial epigastric artery, http://snomed.info/sct,,
,,,,,,2855004,,Structure of accessory cephalic vein, http://snomed.info/sct,,
,,,,,,2861001,,Entire gland (organ), http://snomed.info/sct,,
,,,,,,2894003,,Structure of posterior epiglottis, http://snomed.info/sct,,
,,,,,,2905008,,Structure of anterior ligament of uterus, http://snomed.info/sct,,
,,,,,,2909002,,Structure of posterior portion of diaphragmatic aspect of liver, http://snomed.info/sct,,
,,,,,,2920002,,Structure of facial nerve motor branch, http://snomed.info/sct,,
,,,,,,2922005,,Structure of posterior papillary muscle of left ventricle, http://snomed.info/sct,,
,,,,,,2923000,,Subcutaneous tissue structure of supraorbital area, http://snomed.info/sct,,
,,,,,,2954001,,Supernumerary deciduous tooth, http://snomed.info/sct,,
,,,,,,2969000,,Anatomical space structure, http://snomed.info/sct,,
,,,,,,2979003,,Bone structure of medial cuneiform, http://snomed.info/sct,,
,,,,,,2986006,,Structure of talar facet of navicular bone of foot, http://snomed.info/sct,,
,,,,,,2998001,,Entire right margin of uterus, http://snomed.info/sct,,
,,,,,,3003007,,Internal capsule anterior limb structure, http://snomed.info/sct,,
,,,,,,3008003,,White fibrocartilage, http://snomed.info/sct,,
,,,,,,3028004,,Transitional epithelial cell, http://snomed.info/sct,,
,,,,,,3039001,,Subcutaneous tissue structure of thigh, http://snomed.info/sct,,
,,,,,,3042007,,Structure of glomerular urinary pole, http://snomed.info/sct,,
,,,,,,3054007,,"Structure of articular surface, metacarpal, of phalanx of thumb", http://snomed.info/sct,,
,,,,,,3055008,,Structure of bone marrow of vertebral body, http://snomed.info/sct,,
,,,,,,3056009,,Structure of anteroventral nucleus of thalamus, http://snomed.info/sct,,
,,,,,,3057000,,Nerve structure, http://snomed.info/sct,,
,,,,,,3058005,,PNS - Peripheral nervous system, http://snomed.info/sct,,
,,,,,,3062004,,Spinal arachnoid, http://snomed.info/sct,,
,,,,,,3068000,,Structure of seminal vesicle lumen, http://snomed.info/sct,,
,,,,,,3081007,,Mitochondrion in division, http://snomed.info/sct,,
,,,,,,3093003,,Structure of tendinous arch of pelvic fascia, http://snomed.info/sct,,
,,,,,,3100007,,Clinical crown of tooth, http://snomed.info/sct,,
,,,,,,3113001,,Structure of suprachoroidal space, http://snomed.info/sct,,
,,,,,,3117000,,Structure of dorsal surface of index finger, http://snomed.info/sct,,
,,,,,,3118005,,Structure of trabecula carnea of left ventricle, http://snomed.info/sct,,
,,,,,,3120008,,Pleural membrane structure, http://snomed.info/sct,,
,,,,,,3134008,,Structure of head of fourth metatarsal bone, http://snomed.info/sct,,
,,,,,,3138006,,Bone tissue, http://snomed.info/sct,,
,,,,,,3153003,,Structure of tractus olivocochlearis, http://snomed.info/sct,,
,,,,,,3156006,,Structure of obturator artery, http://snomed.info/sct,,
,,,,,,3159004,,Structure of costocervical trunk, http://snomed.info/sct,,
,,,,,,3169005,,Spinal nerve structure, http://snomed.info/sct,,
,,,,,,3178004,,Structure of raphe of soft palate, http://snomed.info/sct,,
,,,,,,3194006,,Endocardium of right atrium, http://snomed.info/sct,,
,,,,,,3198009,,Monostomatic sublingual gland, http://snomed.info/sct,,
,,,,,,3215002,,Subcutaneous tissue structure of nuchal region, http://snomed.info/sct,,
,,,,,,3222005,,All large arteries, http://snomed.info/sct,,
,,,,,,3227004,,Left coronary artery main stem, http://snomed.info/sct,,
,,,,,,3236000,,Structure of posterior segment of right upper lobe of lung, http://snomed.info/sct,,
,,,,,,3243006,,Structure of parametrial lymph node, http://snomed.info/sct,,
,,,,,,3255000,,Papillary area, http://snomed.info/sct,,
,,,,,,3262009,,Structure of root canal of tooth, http://snomed.info/sct,,
,,,,,,3279003,,Structure of pedicle of third cervical vertebra, http://snomed.info/sct,,
,,,,,,3295003,,Structure of ventral anterior nucleus of thalamus, http://snomed.info/sct,,
,,,,,,3301002,,Tectopontine fibers, http://snomed.info/sct,,
,,,,,,3302009,,Splenic branch of splenic artery, http://snomed.info/sct,,
,,,,,,3315000,,Structure of vestibulospinal tract, http://snomed.info/sct,,
,,,,,,3332001,,Occipitofrontal diameter of head, http://snomed.info/sct,,
,,,,,,3336003,,Haversian canal, http://snomed.info/sct,,
,,,,,,3341006,,Right lung structure, http://snomed.info/sct,,
,,,,,,3350008,,Entire right commissure of pulmonic valve, http://snomed.info/sct,,
,,,,,,3362007,,Intertragal incisure structure, http://snomed.info/sct,,
,,,,,,3366005,,Structure of anterior papillary muscle of left ventricle, http://snomed.info/sct,,
,,,,,,3370002,,Structure of supporting tissue of rectum, http://snomed.info/sct,,
,,,,,,3374006,,Secondary spermatocyte, http://snomed.info/sct,,
,,,,,,3377004,,Structure of agger nasi, http://snomed.info/sct,,
,,,,,,3382006,,Structure of rima oris, http://snomed.info/sct,,
,,,,,,3383001,,Nonsegmented basophil, http://snomed.info/sct,,
,,,,,,3394002,,Suboccipitobregmatic diameter of head, http://snomed.info/sct,,
,,,,,,3395001,,Structure of superior palpebral arch, http://snomed.info/sct,,
,,,,,,3396000,,Structure of mesogastrium, http://snomed.info/sct,,
,,,,,,3400000,,Cell of bone, http://snomed.info/sct,,
,,,,,,3409004,,Structure of lateral margin of forearm, http://snomed.info/sct,,
,,,,,,3417007,,Structure of rotator muscle, http://snomed.info/sct,,
,,,,,,3438001,,Deep lymphatic of upper extremity, http://snomed.info/sct,,
,,,,,,3444002,,Thalamostriate vein, http://snomed.info/sct,,
,,,,,,3447009,,Penetrated oocyte, http://snomed.info/sct,,
,,,,,,3460003,,Structure of anterodorsal nucleus of thalamus, http://snomed.info/sct,,
,,,,,,3462006,,Structure of commissure of tricuspid valve, http://snomed.info/sct,,
,,,,,,3471002,,Posterior midline of trunk, http://snomed.info/sct,,
,,,,,,3478008,,Structure of vastus medialis muscle, http://snomed.info/sct,,
,,,,,,3481003,,Structure of embryonic testis, http://snomed.info/sct,,
,,,,,,3488009,,"Annulate lamella, cisternal lumen", http://snomed.info/sct,,
,,,,,,3490005,,Subcutaneous tissue structure of suboccipital region, http://snomed.info/sct,,
,,,,,,3524005,,Structure of lateral wall of mastoid antrum, http://snomed.info/sct,,
,,,,,,3538003,,Structure of capsule of proximal tibiofibular joint, http://snomed.info/sct,,
,,,,,,3541007,,Structure of dorsal metatarsal artery, http://snomed.info/sct,,
,,,,,,3553006,,Structure of thyroid capsule, http://snomed.info/sct,,
,,,,,,3556003,,Structure of dorsal nucleus of trapezoid body, http://snomed.info/sct,,
,,,,,,3563003,,Muscularis of ureter, http://snomed.info/sct,,
,,,,,,3572006,,Vertebral body, http://snomed.info/sct,,
,,,,,,3578005,,Structure of body of gallbladder, http://snomed.info/sct,,
,,,,,,3582007,,Structure of gastrophrenic ligament, http://snomed.info/sct,,
,,,,,,3584008,,T10 dorsal arch, http://snomed.info/sct,,
,,,,,,3594003,,Structure of straight part of longus colli muscle, http://snomed.info/sct,,
,,,,,,3608004,,Ischiococcygeus muscle, http://snomed.info/sct,,
,,,,,,3609007,,Structure of occipital branch of posterior auricular artery, http://snomed.info/sct,,
,,,,,,3646006,,Lamellipodium, http://snomed.info/sct,,
,,,,,,3663005,,Structure of tympanic ostium of Eustachian tube, http://snomed.info/sct,,
,,,,,,3665003,,Pelvic wall structure, http://snomed.info/sct,,
,,,,,,3670005,,Entire subpyloric lymph node, http://snomed.info/sct,,
,,,,,,3711007,,Great vessel, http://snomed.info/sct,,
,,,,,,3743007,,Structure of lateral thoracic artery, http://snomed.info/sct,,
,,,,,,3761003,,Structure of nucleus pulposus of intervertebral disc of first thoracic vertebra, http://snomed.info/sct,,
,,,,,,3766008,,Subcutaneous tissue structure of lower extremity, http://snomed.info/sct,,
,,,,,,3785006,,Entire dorsal metacarpal ligament, http://snomed.info/sct,,
,,,,,,3788008,,Structure of apical segment of right lower lobe of lung, http://snomed.info/sct,,
,,,,,,3789000,,Enteroendocrine cell, http://snomed.info/sct,,
,,,,,,3810000,,Septal cartilage structure, http://snomed.info/sct,,
,,,,,,3838008,,Structure of apex of coccyx, http://snomed.info/sct,,
,,,,,,3860006,,Structure of transplanted liver, http://snomed.info/sct,,
,,,,,,3865001,,Structure of interscapular region of back, http://snomed.info/sct,,
,,,,,,3867009,,Structure of dorsal surface of great toe, http://snomed.info/sct,,
,,,,,,3876002,,Subcutaneous tissue structure of femoral region, http://snomed.info/sct,,
,,,,,,3877006,,Structure of common carotid plexus, http://snomed.info/sct,,
,,,,,,3910004,,Subcutaneous tissue structure of lateral surface of fourth toe, http://snomed.info/sct,,
