HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
,,,,,,702244006,,Sterile urine specimen container, http://snomed.info/sct,,
,,,,,,702256007,,"Non-evacuated blood collection tube, no additive", http://snomed.info/sct,,
,,,,,,702264001,,Non-sterile urine specimen container IVD, http://snomed.info/sct,,
,,,,,,702268003,,"General specimen container, no additive, non-sterile", http://snomed.info/sct,,
,,,,,,702269006,,"General specimen container, no additive, sterile", http://snomed.info/sct,,
,,,,,,702275002,,"Microcapillary blood collection tube, ammonium heparin", http://snomed.info/sct,,
,,,,,,702276001,,"Microcapillary blood collection tube, K2EDTA", http://snomed.info/sct,,
,,,,,,702277005,,"Microcapillary blood collection tube, no additive", http://snomed.info/sct,,
,,,,,,702278000,,"Evacuated blood collection tube, no additive/metal-free", http://snomed.info/sct,,
,,,,,,702279008,,"Evacuated blood collection tube, gel separator", http://snomed.info/sct,,
,,,,,,702280006,,"Evacuated blood collection tube, RNA stabilizer", http://snomed.info/sct,,
,,,,,,702281005,,"Evacuated blood collection tube, thrombin/clot activator/gel separator", http://snomed.info/sct,,
,,,,,,702282003,,"Non-evacuated blood collection tube, EDTA", http://snomed.info/sct,,
,,,,,,702283008,,"Non-evacuated blood collection tube, gel separator", http://snomed.info/sct,,
,,,,,,702284002,,"Non-evacuated blood collection tube, lithium heparin", http://snomed.info/sct,,
,,,,,,702285001,,"Non-evacuated blood collection tube, lithium heparin/gel separator, sterile", http://snomed.info/sct,,
,,,,,,702286000,,"Non-evacuated blood collection tube, NaEDTA/sodium fluoride", http://snomed.info/sct,,
,,,,,,702287009,,"Non-evacuated blood collection tube, potassium oxalate/sodium fluoride", http://snomed.info/sct,,
,,,,,,702288004,,"Evacuated urine specimen container, boric acid (H3BO3)/sodium formate", http://snomed.info/sct,,
,,,,,,702289007,,"Evacuated urine specimen container, ethyl paraben/sodium porpionate/chlorhexidine", http://snomed.info/sct,,
,,,,,,702290003,,Cervical cytology microscopy slide, http://snomed.info/sct,,
,,,,,,702292006,,"Evacuated blood collection tube , K3EDTA/sodium fluoride", http://snomed.info/sct,,
,,,,,,702293001,,"Evacuated blood collection tube, K2EDTA/aprotinin", http://snomed.info/sct,,
,,,,,,702294007,,Syringe-blood collection tube transfer, http://snomed.info/sct,,
,,,,,,702295008,,"Non-evacuated blood collection tube, clot activator/gel separator", http://snomed.info/sct,,
,,,,,,702296009,,"Non-evacuated blood collection tube, sodium citrate", http://snomed.info/sct,,
,,,,,,702297000,,"Non-evacuated blood collection tube, clot activator", http://snomed.info/sct,,
,,,,,,702298005,,"Non-evacuated blood collection tube, K3EDTA", http://snomed.info/sct,,
,,,,,,702299002,,"Non-evacuated blood collection tube, K2EDTA", http://snomed.info/sct,,
,,,,,,702300005,,"Non-evacuated blood collection tube, lithium heparin/gel separator, non-sterile", http://snomed.info/sct,,
,,,,,,702301009,,Microcapillary blood collection funnel, http://snomed.info/sct,,
,,,,,,702302002,,"Evacuated urine specimen container, boric acid (H3BO3)", http://snomed.info/sct,,
,,,,,,702303007,,"Evacuated urine specimen container, multiple preservative", http://snomed.info/sct,,
,,,,,,702304001,,"Microcapillary blood transfer tube, clot activator", http://snomed.info/sct,,
,,,,,,702305000,,"Microcapillary blood transfer tube, sodium fluoride", http://snomed.info/sct,,
,,,,,,702306004,,"Microcapillary blood transfer tube, EDTA", http://snomed.info/sct,,
,,,,,,702307008,,"Microcapillary blood transfer tube IVD, heparin", http://snomed.info/sct,,
,,,,,,702308003,,"Evacuated urine specimen container IVD, no additive", http://snomed.info/sct,,
,,,,,,702309006,,"Saliva specimen container IVD, no additive", http://snomed.info/sct,,
,,,,,,702310001,,"Evacuated saliva specimen container IVD, sodium azide", http://snomed.info/sct,,
,,,,,,704866005,,"Orthopedic bone particle collector, reusable", http://snomed.info/sct,,
,,,,,,704921002,,Hemoperfusion tubing set, http://snomed.info/sct,,
,,,,,,706042001,,Clinical sampling brush, http://snomed.info/sct,,
,,,,,,706044000,,Endotherapy cytology brush, http://snomed.info/sct,,
,,,,,,706045004,,Bone particle collector, http://snomed.info/sct,,
,,,,,,706046003,,Specimen receptacle, http://snomed.info/sct,,
,,,,,,706047007,,Fecal specimen container, http://snomed.info/sct,,
,,,,,,706048002,,Blood specimen receptacle, http://snomed.info/sct,,
,,,,,,706049005,,Blood tube, http://snomed.info/sct,,
,,,,,,706050005,,Microcapillary blood collection tube, http://snomed.info/sct,,
,,,,,,706051009,,Non-evacuated blood collection tube, http://snomed.info/sct,,
,,,,,,706052002,,Evacuated blood collection tube, http://snomed.info/sct,,
,,,,,,706053007,,General specimen container, http://snomed.info/sct,,
,,,,,,706054001,,Urine specimen container, http://snomed.info/sct,,
,,,,,,706055000,,24-hour urine specimen container, http://snomed.info/sct,,
,,,,,,706056004,,Evacuated urine specimen container, http://snomed.info/sct,,
,,,,,,706057008,,Cytology specimen container, http://snomed.info/sct,,
,,,,,,706058003,,Secretory specimen container, http://snomed.info/sct,,
,,,,,,706067003,,Blood collection/transfer device, http://snomed.info/sct,,
,,,,,,706070004,,Blood donor set, http://snomed.info/sct,,
,,,,,,706071000,,Specimen receptacle transport container, http://snomed.info/sct,,
,,,,,,712485008,,Autologous blood collection tube, http://snomed.info/sct,,
,,,,,,713951005,,"Adipose tissue stem cell recovery unit, ultrasonic", http://snomed.info/sct,,
,,,,,,714731008,,Blood component separator, http://snomed.info/sct,,
,,,,,,718301008,,"Urological fluid funnel, sterile", http://snomed.info/sct,,
,,,,,,718302001,,"Urological fluid funnel, non-sterile", http://snomed.info/sct,,
